exp_id,rep,weather,start_point,end_point,result,initial_distance,final_distance,final_time,time_out,,,,,
0,0,1,38,34,1,10329.00195,198.0640092,19.832,45.4888,100,150,1,0.1,5
0,0,1,4,2,0,983,983.0019532,18.8722,18.8722,100,150,1,0.1,5
0,0,1,12,10,0,7503.281549,7503.283561,36.6166,36.6166,100,150,1,0.1,5
0,0,1,62,55,1,8287.002441,180.2523455,14.606,39.574,100,150,1,0.1,5
0,0,1,43,47,1,7482,176.2273913,13.735,36.6166,100,150,1,0.1,5
1,0,1,37,76,1,5890.084238,172.8658539,14.941,39.574,100,150,1,0.1,5
1,0,1,8,24,0,5798.451724,5798.458416,36.6166,36.6166,100,150,1,0.1,5
1,0,1,60,69,1,11052.70029,196.4742012,46.029,63.2332,100,150,1,0.1,5
1,0,1,38,10,0,13017.30293,3414.570258,63.2332,63.2332,100,150,1,0.1,5
1,0,1,21,1,1,5547.246278,171.0322044,14.338,39.574,100,150,1,0.1,5
2,0,1,19,66,0,13725.40311,16584.40711,225.8902,225.8902,100,150,1,0.1,5
2,0,1,79,14,0,14827.70464,14945.58295,181.5292,181.5292,100,150,1,0.1,5
2,0,1,19,57,1,8244.995678,198.7220941,132.794,264.3364,100,150,1,0.1,5
2,0,1,23,1,1,9135.900163,189.0172816,21.172,54.361,100,150,1,0.1,5
2,0,1,53,76,1,5457.223094,171.1729299,72.896,137.1682,100,150,1,0.1,5
3,0,3,38,34,1,10329.00195,176.7220068,22.311,45.4888,100,150,1,0.1,5
3,0,3,4,2,0,983,983.0019532,18.8722,18.8722,100,150,1,0.1,5
3,0,3,12,10,0,7503.281549,7503.283557,36.6166,36.6166,100,150,1,0.1,5
3,0,3,62,55,1,8287.002441,178.1782451,15.946,39.574,100,150,1,0.1,5
3,0,3,43,47,1,7482,175.1107986,12.328,36.6166,100,150,1,0.1,5
4,0,3,37,76,0,5890.084238,5058.739376,39.574,39.574,100,150,1,0.1,5
4,0,3,8,24,1,5798.451724,198.5327634,19.028,36.6166,100,150,1,0.1,5
4,0,3,60,69,1,11052.70029,164.5246271,46.833,63.2332,100,150,1,0.1,5
4,0,3,38,10,1,13017.30293,199.6814277,27.537,63.2332,100,150,1,0.1,5
4,0,3,21,1,1,5547.246278,187.1423509,13.333,39.574,100,150,1,0.1,5
5,0,3,19,66,0,13725.40311,16679.5879,225.8902,225.8902,100,150,1,0.1,5
5,0,3,79,14,0,14827.70464,14827.69091,181.5292,181.5292,100,150,1,0.1,5
5,0,3,19,57,0,8244.995678,9499.154558,264.3364,264.3364,100,150,1,0.1,5
5,0,3,23,1,1,9135.900163,189.5115665,22.981,54.361,100,150,1,0.1,5
5,0,3,53,76,0,5457.223094,15198.41665,137.1682,137.1682,100,150,1,0.1,5
6,0,6,38,34,0,10329.00195,5587.794035,45.4888,45.4888,100,150,1,0.1,5
6,0,6,4,2,1,983,189.6095839,4.154,18.8722,100,150,1,0.1,5
6,0,6,12,10,1,7503.281549,178.0845306,21.038,36.6166,100,150,1,0.1,5
6,0,6,62,55,1,8287.002441,171.6761401,14.271,39.574,100,150,1,0.1,5
6,0,6,43,47,1,7482,168.1672829,15.276,36.6166,100,150,1,0.1,5
7,0,6,37,76,0,5890.084238,5890.099972,39.574,39.574,100,150,1,0.1,5
7,0,6,8,24,1,5798.451724,199.3628268,19.631,36.6166,100,150,1,0.1,5
7,0,6,60,69,1,11052.70029,163.5924687,25.192,63.2332,100,150,1,0.1,5
7,0,6,38,10,0,13017.30293,8279.11906,63.2332,63.2332,100,150,1,0.1,5
7,0,6,21,1,0,5547.246278,5547.257548,39.574,39.574,100,150,1,0.1,5
8,0,6,19,66,1,13725.40311,188.4946751,105.927,225.8902,100,150,1,0.1,5
8,0,6,79,14,0,14827.70464,17311.15253,181.5292,181.5292,100,150,1,0.1,5
8,0,6,19,57,0,8244.995678,26006.64411,264.3364,264.3364,100,150,1,0.1,5
8,0,6,23,1,0,9135.900163,3066.610233,54.361,54.361,100,150,1,0.1,5
8,0,6,53,76,0,5457.223094,15203.28909,137.1682,137.1682,100,150,1,0.1,5
9,0,8,38,34,1,10329.00195,175.3112249,31.624,45.4888,100,150,1,0.1,5
9,0,8,4,2,1,983,189.2589955,4.556,18.8722,100,150,1,0.1,5
9,0,8,12,10,0,7503.281549,7503.285548,36.6166,36.6166,100,150,1,0.1,5
