exp_id,rep,weather,start_point,end_point,result,initial_distance,final_distance,final_time,time_out,,
0,0,1,36,40,1,7132,178.9556167,14.807,36.6166,20,50
0,0,1,39,35,1,7132,197.4853461,10.988,36.6166,20,50
0,0,1,110,114,1,6265.005108,183.4440812,13.467,30.7018,20,50
0,0,1,7,3,1,4638,178.3819222,10.452,24.787,20,50
0,0,1,0,4,1,5477.061712,161.5292175,11.993,27.7444,20,50
0,0,1,68,50,1,26154,190.3564629,42.277,104.6368,20,50
0,0,1,61,59,1,3471,153.8581406,6.7,21.8296,20,50
0,0,1,47,64,1,25835,164.554739,52.327,104.6368,20,50
0,0,1,147,90,1,18045,196.8544316,36.515,75.0628,20,50
0,0,1,33,87,1,9960.097184,179.6489849,15.075,45.4888,20,50
1,0,1,138,17,1,10208.35972,190.0831726,30.016,57.3184,20,50
1,0,1,47,16,1,4750.866533,199.7865725,13.132,36.6166,20,50
1,0,1,26,9,1,7034.791722,174.1460114,21.574,42.5314,20,50
1,0,1,42,49,1,6391.949464,187.5335683,15.879,36.6166,20,50
1,0,1,140,124,1,5823.768282,191.6064245,15.276,36.6166,20,50
1,0,1,85,98,1,5187.104105,192.8324837,11.792,33.6592,20,50
1,0,1,65,133,0,4033.868999,4033.919676,261.379,261.379,20,50
1,0,1,137,51,0,5133.075345,6282.295044,72.1054,72.1054,20,50
1,0,1,76,66,1,7811.423686,193.1019356,17.085,45.4888,20,50
1,0,1,46,39,0,7143.2242,7143.204363,39.574,39.574,20,50
2,0,1,105,29,1,28044.94571,179.829514,178.555,335.314,20,50
2,0,1,27,130,1,17494.69134,196.6334972,137.283,243.6346,20,50
2,0,1,102,87,1,39180.74011,184.8347928,147.266,364.888,20,50
2,0,1,132,27,1,21656.7027,193.1261155,203.479,364.888,20,50
2,0,1,24,44,1,13482.32708,178.8708585,54.337,75.0628,20,50
2,0,1,96,26,1,14826,192.0049885,35.443,63.2332,20,50
2,0,1,34,67,1,38476.3895,199.5796268,139.293,190.4014,20,50
2,0,1,28,1,1,18389.9124,172.1947537,50.518,86.8924,20,50
2,0,1,140,134,1,21063.72327,198.4548521,82.209,104.6368,20,50
2,0,1,105,9,1,25367.98134,196.9923816,158.321,187.444,20,50
3,0,3,36,40,1,7132,177.9685674,15.745,36.6166,20,50
3,0,3,39,35,1,7132,179.950456,11.256,36.6166,20,50
3,0,3,110,114,1,6265.005108,165.2068409,13.4,30.7018,20,50
3,0,3,7,3,1,4638,171.9705213,10.452,24.787,20,50
3,0,3,0,4,1,5477.061712,166.0595627,11.993,27.7444,20,50
3,0,3,68,50,1,26154,192.9013256,44.622,104.6368,20,50
3,0,3,61,59,1,3471,197.3627457,6.7,21.8296,20,50
3,0,3,47,64,1,25835,189.2550036,54.337,104.6368,20,50
3,0,3,147,90,1,18045,187.5767665,34.371,75.0628,20,50
3,0,3,33,87,1,9960.097184,178.9717015,14.137,45.4888,20,50
4,0,3,138,17,1,10208.35972,199.8373109,28.944,57.3184,20,50
4,0,3,47,16,0,4750.866533,8891.919801,36.6166,36.6166,20,50
4,0,3,26,9,1,7034.791722,189.0913453,19.966,42.5314,20,50
4,0,3,42,49,1,6391.949464,197.7724435,16.214,36.6166,20,50
4,0,3,140,124,1,5823.768282,194.874527,15.544,36.6166,20,50
4,0,3,85,98,1,5187.104105,160.164461,13.534,33.6592,20,50
4,0,3,65,133,1,4033.868999,175.7246535,163.882,261.379,20,50
4,0,3,137,51,1,5133.075345,169.5038969,32.964,72.1054,20,50
4,0,3,76,66,1,7811.423686,168.9320445,17.554,45.4888,20,50
4,0,3,46,39,0,7143.2242,7143.204395,39.574,39.574,20,50
5,0,3,105,29,0,28044.94571,12829.28639,335.314,335.314,20,50
5,0,3,27,130,1,17494.69134,186.3260946,124.62,243.6346,20,50
5,0,3,102,87,1,39180.74011,169.6588028,147.601,364.888,20,50
5,0,3,132,27,1,21656.7027,188.0885984,199.727,364.888,20,50
5,0,3,24,44,0,13482.32708,4934.75067,75.0628,75.0628,20,50
5,0,3,96,26,1,14826,198.1214867,31.624,63.2332,20,50
5,0,3,34,67,1,38476.3895,197.0873874,139.561,190.4014,20,50
5,0,3,28,1,0,18389.9124,19182.03897,86.8924,86.8924,20,50
5,0,3,140,134,1,21063.72327,199.1812225,82.276,104.6368,20,50
5,0,3,105,9,0,25367.98134,13585.71951,187.444,187.444,20,50
6,0,6,36,40,1,7132,189.6338285,15.008,36.6166,20,50
6,0,6,39,35,1,7132,191.8239443,12.596,36.6166,20,50
6,0,6,110,114,1,6265.005108,186.7954999,13.467,30.7018,20,50
6,0,6,7,3,1,4638,177.329272,10.586,24.787,20,50
6,0,6,0,4,1,5477.061712,198.8291283,11.926,27.7444,20,50
6,0,6,68,50,1,26154,164.2348289,45.426,104.6368,20,50
6,0,6,61,59,1,3471,147.8868383,6.633,21.8296,20,50
6,0,6,47,64,1,25835,184.5935965,47.972,104.6368,20,50
6,0,6,147,90,0,18045,416.2243576,75.0628,75.0628,20,50
6,0,6,33,87,1,9960.097184,185.3888598,19.832,45.4888,20,50
7,0,6,138,17,0,10208.35972,2195.57903,57.3184,57.3184,20,50
7,0,6,47,16,0,4750.866533,15421.29005,36.6166,36.6166,20,50
7,0,6,26,9,1,7034.791722,183.9975625,21.574,42.5314,20,50
7,0,6,42,49,1,6391.949464,190.4563011,15.812,36.6166,20,50
7,0,6,140,124,1,5823.768282,176.6137848,17.42,36.6166,20,50
7,0,6,85,98,1,5187.104105,192.9354409,13.4,33.6592,20,50
7,0,6,65,133,1,4033.868999,172.5064344,148.472,261.379,20,50
7,0,6,137,51,1,5133.075345,190.9716313,42.612,72.1054,20,50
7,0,6,76,66,1,7811.423686,175.1727076,17.688,45.4888,20,50
7,0,6,46,39,1,7143.2242,178.2538389,17.956,39.574,20,50
8,0,6,105,29,0,28044.94571,16531.90576,335.314,335.314,20,50
8,0,6,27,130,0,17494.69134,13976.47588,243.6346,243.6346,20,50
8,0,6,102,87,1,39180.74011,172.1455454,156.378,364.888,20,50
8,0,6,132,27,0,21656.7027,28489.37084,364.888,364.888,20,50
8,0,6,24,44,1,13482.32708,177.1514034,39.128,75.0628,20,50
8,0,6,96,26,1,14826,177.2679966,34.974,63.2332,20,50
8,0,6,34,67,1,38476.3895,192.3593547,186.863,190.4014,20,50
8,0,6,28,1,1,18389.9124,176.6123324,49.379,86.8924,20,50
8,0,6,140,134,0,21063.72327,14977.63238,104.6368,104.6368,20,50
8,0,6,105,9,1,25367.98134,199.9882691,128.573,187.444,20,50
9,0,8,36,40,1,7132,180.9554232,16.683,36.6166,20,50
9,0,8,39,35,1,7132,144.6860999,11.323,36.6166,20,50
9,0,8,110,114,1,6265.005108,167.7927303,13.4,30.7018,20,50
9,0,8,7,3,1,4638,181.8931153,10.452,24.787,20,50
9,0,8,0,4,1,5477.061712,163.227647,11.926,27.7444,20,50
9,0,8,68,50,1,26154,180.7405368,43.483,104.6368,20,50
9,0,8,61,59,1,3471,163.3882132,6.566,21.8296,20,50
9,0,8,47,64,1,25835,196.6419466,47.972,104.6368,20,50
9,0,8,147,90,1,18045,175.321845,36.649,75.0628,20,50
9,0,8,33,87,1,9960.097184,157.5019662,14.204,45.4888,20,50
10,0,8,138,17,1,10208.35972,197.4390579,29.145,57.3184,20,50
10,0,8,47,16,1,4750.866533,199.9814009,12.998,36.6166,20,50
10,0,8,26,9,1,7034.791722,179.5805092,20.1,42.5314,20,50
10,0,8,42,49,1,6391.949464,194.6701032,16.08,36.6166,20,50
10,0,8,140,124,1,5823.768282,186.1577001,18.023,36.6166,20,50
10,0,8,85,98,1,5187.104105,195.6194928,13.534,33.6592,20,50
10,0,8,65,133,1,4033.868999,176.1273802,207.298,261.379,20,50
10,0,8,137,51,0,5133.075345,5328.233374,72.1054,72.1054,20,50
10,0,8,76,66,1,7811.423686,165.7566844,17.621,45.4888,20,50
10,0,8,46,39,0,7143.2242,6894.817678,39.574,39.574,20,50
11,0,8,105,29,1,28044.94571,180.6688973,177.55,335.314,20,50
11,0,8,27,130,1,17494.69134,175.0407563,135.675,243.6346,20,50
11,0,8,102,87,1,39180.74011,172.7047111,143.849,364.888,20,50
11,0,8,132,27,1,21656.7027,187.9539298,200.799,364.888,20,50
11,0,8,24,44,1,13482.32708,188.234432,43.885,75.0628,20,50
11,0,8,96,26,0,14826,15171.89666,63.2332,63.2332,20,50
11,0,8,34,67,1,38476.3895,170.810481,149.611,190.4014,20,50
11,0,8,28,1,1,18389.9124,164.6384949,43.282,86.8924,20,50
11,0,8,140,134,0,21063.72327,11091.12069,104.6368,104.6368,20,50
11,0,8,105,9,0,25367.98134,8126.665109,187.444,187.444,20,50
12,0,1,36,40,1,7132,169.2078113,14.807,36.6166,20,50
12,0,1,39,35,1,7132,156.5645719,10.988,36.6166,20,50
12,0,1,110,114,1,6265.005108,182.0265589,13.467,30.7018,20,50
12,0,1,7,3,1,4638,190.400762,10.452,24.787,20,50
12,0,1,0,4,1,5477.061712,190.9912582,11.859,27.7444,20,50
12,0,1,68,50,1,26154,167.962007,43.416,104.6368,20,50
12,0,1,61,59,1,3471,175.8113082,6.7,21.8296,20,50
12,0,1,47,64,0,25835,14026.67189,104.6368,104.6368,20,50
12,0,1,147,90,1,18045,171.6278808,36.448,75.0628,20,50
12,0,1,33,87,1,9960.097184,168.1448008,14.137,45.4888,20,50
13,0,1,138,17,1,10208.35972,198.8653265,28.475,57.3184,20,50
13,0,1,47,16,1,4750.866533,199.9728744,13.199,36.6166,20,50
13,0,1,26,9,1,7034.791722,192.2462164,21.44,42.5314,20,50
13,0,1,42,49,1,6391.949464,186.7683095,16.147,36.6166,20,50
13,0,1,140,124,1,5823.768282,189.1774476,15.276,36.6166,20,50
13,0,1,85,98,1,5187.104105,175.9682052,12.864,33.6592,20,50
13,0,1,65,133,0,4033.868999,4033.923171,261.379,261.379,20,50
13,0,1,137,51,0,5133.075345,6287.035119,72.1054,72.1054,20,50
13,0,1,76,66,1,7811.423686,199.6098778,16.616,45.4888,20,50
13,0,1,46,39,0,7143.2242,7143.203888,39.574,39.574,20,50
14,0,1,105,29,1,28044.94571,196.5306447,178.689,335.314,20,50
14,0,1,27,130,1,17494.69134,173.4010612,132.928,243.6346,20,50
14,0,1,102,87,1,39180.74011,193.9699966,150.817,364.888,20,50
14,0,1,132,27,1,21656.7027,191.1328005,204.216,364.888,20,50
14,0,1,24,44,1,13482.32708,195.0736705,46.297,75.0628,20,50
14,0,1,96,26,1,14826,183.0906853,35.51,63.2332,20,50
14,0,1,34,67,1,38476.3895,178.4270368,139.628,190.4014,20,50
14,0,1,28,1,1,18389.9124,187.52224,50.585,86.8924,20,50
14,0,1,140,134,1,21063.72327,193.6623664,84.286,104.6368,20,50
14,0,1,105,9,1,25367.98134,171.2282562,157.249,187.444,20,50
15,0,3,36,40,1,7132,179.1721184,14.941,36.6166,20,50
15,0,3,39,35,1,7132,170.3975146,10.921,36.6166,20,50
15,0,3,110,114,1,6265.005108,184.1785124,13.4,30.7018,20,50
15,0,3,7,3,1,4638,171.0542599,10.519,24.787,20,50
15,0,3,0,4,1,5477.061712,169.4877395,12.06,27.7444,20,50
15,0,3,68,50,1,26154,183.5166805,44.89,104.6368,20,50
15,0,3,61,59,1,3471,183.1424192,6.7,21.8296,20,50
15,0,3,47,64,1,25835,167.4814672,48.106,104.6368,20,50
15,0,3,147,90,1,18045,198.1524663,34.371,75.0628,20,50
15,0,3,33,87,1,9960.097184,173.6674312,14.07,45.4888,20,50
16,0,3,138,17,1,10208.35972,195.1623073,28.542,57.3184,20,50
16,0,3,47,16,1,4750.866533,167.7716202,13.668,36.6166,20,50
16,0,3,26,9,0,7034.791722,9953.140396,42.5314,42.5314,20,50
16,0,3,42,49,1,6391.949464,180.6578523,15.879,36.6166,20,50
16,0,3,140,124,1,5823.768282,174.7233056,15.41,36.6166,20,50
16,0,3,85,98,1,5187.104105,170.5940422,11.926,33.6592,20,50
16,0,3,65,133,1,4033.868999,197.6625368,161.135,261.379,20,50
16,0,3,137,51,1,5133.075345,170.961998,30.217,72.1054,20,50
16,0,3,76,66,1,7811.423686,194.3946168,17.889,45.4888,20,50
16,0,3,46,39,1,7143.2242,180.9434136,33.366,39.574,20,50
