exp_id,rep,weather,start_point,end_point,result,initial_distance,final_distance,final_time,time_out,,
0,0,1,36,40,1,7132,178.8099321,14.807,36.6166,20,50
0,0,1,39,35,1,7132,172.3699838,10.854,36.6166,20,50
0,0,1,110,114,1,6265.005108,178.8805044,13.467,30.7018,20,50
0,0,1,7,3,1,4638,177.4322686,10.385,24.787,20,50
0,0,1,0,4,1,5477.061712,161.5628631,11.926,27.7444,20,50
0,0,1,68,50,1,26154,186.3258485,48.91,104.6368,20,50
0,0,1,61,59,1,3471,185.5546054,7.37,21.8296,20,50
0,0,1,47,64,1,25835,197.9486449,55.208,104.6368,20,50
0,0,1,147,90,1,18045,197.9256487,43.081,75.0628,20,50
0,0,1,33,87,1,9960.097184,158.3485168,16.482,45.4888,20,50
1,0,1,138,17,1,10208.35972,190.8946319,31.825,57.3184,20,50
1,0,1,47,16,1,4750.866533,164.437533,14.807,36.6166,20,50
1,0,1,26,9,1,7034.791722,173.9746217,22.445,42.5314,20,50
1,0,1,42,49,1,6391.949464,197.2144836,17.152,36.6166,20,50
1,0,1,140,124,1,5823.768282,177.3868595,15.544,36.6166,20,50
1,0,1,85,98,1,5187.104105,176.4724166,15.008,33.6592,20,50
1,0,1,65,133,1,4033.868999,188.6791444,148.673,261.379,20,50
1,0,1,137,51,1,5133.075345,186.5575555,33.031,72.1054,20,50
1,0,1,76,66,1,7811.423686,186.3973543,18.559,45.4888,20,50
1,0,1,46,39,1,7143.2242,199.2791942,24.388,39.574,20,50
2,0,1,105,29,1,28044.94571,178.3365722,179.225,335.314,20,50
2,0,1,27,130,1,17494.69134,174.9612468,150.415,243.6346,20,50
2,0,1,102,87,1,39180.74011,195.7949986,162.006,364.888,20,50
2,0,1,132,27,1,21656.7027,182.1688565,238.587,364.888,20,50
2,0,1,24,44,1,13482.32708,198.7866136,60.367,75.0628,20,50
2,0,1,96,26,1,14826,195.2718161,38.726,63.2332,20,50
2,0,1,34,67,1,38476.3895,182.5894463,137.618,190.4014,20,50
2,0,1,28,1,1,18389.9124,187.5552197,54.136,86.8924,20,50
2,0,1,140,134,1,21063.72327,185.624976,94.604,104.6368,20,50
2,0,1,105,9,1,25367.98134,185.6490803,159.996,187.444,20,50
3,0,3,36,40,1,7132,166.4897219,15.075,36.6166,20,50
3,0,3,39,35,1,7132,182.4305016,10.921,36.6166,20,50
3,0,3,110,114,1,6265.005108,184.0604916,15.678,30.7018,20,50
3,0,3,7,3,1,4638,173.4593208,10.452,24.787,20,50
3,0,3,0,4,1,5477.061712,181.5155,11.993,27.7444,20,50
3,0,3,68,50,1,26154,180.1732346,45.091,104.6368,20,50
3,0,3,61,59,1,3471,186.2214922,8.04,21.8296,20,50
3,0,3,47,64,1,25835,174.5899915,48.039,104.6368,20,50
3,0,3,147,90,1,18045,190.142679,37.319,75.0628,20,50
3,0,3,33,87,1,9960.097184,165.1607388,14.003,45.4888,20,50
4,0,3,138,17,1,10208.35972,184.4093925,40.066,57.3184,20,50
4,0,3,47,16,0,4750.866533,6612.638583,36.6166,36.6166,20,50
4,0,3,26,9,1,7034.791722,194.9512065,21.641,42.5314,20,50
4,0,3,42,49,1,6391.949464,194.3931623,29.078,36.6166,20,50
4,0,3,140,124,1,5823.768282,199.405715,15.41,36.6166,20,50
4,0,3,85,98,1,5187.104105,177.6314907,11.792,33.6592,20,50
4,0,3,65,133,1,4033.868999,171.4349046,145.658,261.379,20,50
4,0,3,137,51,1,5133.075345,197.8039519,33.835,72.1054,20,50
4,0,3,76,66,1,7811.423686,164.5739306,17.487,45.4888,20,50
4,0,3,46,39,1,7143.2242,151.7811294,22.311,39.574,20,50
5,0,3,105,29,1,28044.94571,183.988471,320.394,335.314,20,50
5,0,3,27,130,1,17494.69134,177.430623,151.42,243.6346,20,50
5,0,3,102,87,1,39180.74011,136.0279156,158.857,364.888,20,50
5,0,3,132,27,1,21656.7027,198.5936474,201.938,364.888,20,50
