exp_id,rep,weather,start_point,end_point,result,initial_distance,final_distance,final_time,time_out,,,,,
0,0,1,38,34,1,10329.00195,169.9290638,17.487,45.4888,100,150,1,0.1,5
0,0,1,4,2,0,983,983.0019532,18.8722,18.8722,100,150,1,0.1,5
0,0,1,12,10,0,7503.281549,7503.283553,36.6166,36.6166,100,150,1,0.1,5
0,0,1,62,55,1,8287.002441,199.0179139,16.013,39.574,100,150,1,0.1,5
0,0,1,43,47,1,7482,181.1651671,13.802,36.6166,100,150,1,0.1,5
1,0,1,37,76,1,5890.084238,185.6376244,15.209,39.574,100,150,1,0.1,5
1,0,1,8,24,0,5798.451724,5798.453657,36.6166,36.6166,100,150,1,0.1,5
1,0,1,60,69,1,11052.70029,167.1182529,28.207,63.2332,100,150,1,0.1,5
1,0,1,38,10,1,13017.30293,186.2041386,27.939,63.2332,100,150,1,0.1,5
1,0,1,21,1,1,5547.246278,183.5070756,16.683,39.574,100,150,1,0.1,5
2,0,1,19,66,1,13725.40311,176.3848703,118.121,225.8902,100,150,1,0.1,5
2,0,1,79,14,1,14827.70464,180.9684211,101.84,181.5292,100,150,1,0.1,5
2,0,1,19,57,0,8244.995678,21545.24772,264.3364,264.3364,100,150,1,0.1,5
2,0,1,23,1,1,9135.900163,174.8757045,22.579,54.361,100,150,1,0.1,5
2,0,1,53,76,1,5457.223094,196.8484437,67.201,137.1682,100,150,1,0.1,5
3,0,3,38,34,1,10329.00195,175.9222005,23.048,45.4888,100,150,1,0.1,5
3,0,3,4,2,0,983,983.0019532,18.8722,18.8722,100,150,1,0.1,5
3,0,3,12,10,0,7503.281549,7503.283557,36.6166,36.6166,100,150,1,0.1,5
3,0,3,62,55,1,8287.002441,180.9912842,14.807,39.574,100,150,1,0.1,5
3,0,3,43,47,1,7482,188.1345944,12.73,36.6166,100,150,1,0.1,5
4,0,3,37,76,0,5890.084238,5065.796753,39.574,39.574,100,150,1,0.1,5
4,0,3,8,24,1,5798.451724,188.8928564,18.961,36.6166,100,150,1,0.1,5
4,0,3,60,69,1,11052.70029,178.9323951,29.078,63.2332,100,150,1,0.1,5
4,0,3,38,10,1,13017.30293,189.291553,29.815,63.2332,100,150,1,0.1,5
4,0,3,21,1,0,5547.246278,3790.586594,39.574,39.574,100,150,1,0.1,5
5,0,3,19,66,0,13725.40311,16583.82822,225.8902,225.8902,100,150,1,0.1,5
5,0,3,79,14,0,14827.70464,14827.68701,181.5292,181.5292,100,150,1,0.1,5
5,0,3,19,57,0,8244.995678,12845.22785,264.3364,264.3364,100,150,1,0.1,5
5,0,3,23,1,1,9135.900163,199.9689301,21.775,54.361,100,150,1,0.1,5
5,0,3,53,76,0,5457.223094,5050.72019,137.1682,137.1682,100,150,1,0.1,5
6,0,6,38,34,1,10329.00195,183.727901,19.229,45.4888,100,150,1,0.1,5
6,0,6,4,2,1,983,176.4465902,4.087,18.8722,100,150,1,0.1,5
6,0,6,12,10,1,7503.281549,179.9513849,20.904,36.6166,100,150,1,0.1,5
6,0,6,62,55,1,8287.002441,177.5944902,14.405,39.574,100,150,1,0.1,5
6,0,6,43,47,1,7482,194.6455162,15.075,36.6166,100,150,1,0.1,5
7,0,6,37,76,0,5890.084238,5890.11304,39.574,39.574,100,150,1,0.1,5
7,0,6,8,24,1,5798.451724,152.7411959,15.678,36.6166,100,150,1,0.1,5
7,0,6,60,69,1,11052.70029,157.7623564,23.919,63.2332,100,150,1,0.1,5
