exp_id,rep,weather,start_point,end_point,result,initial_distance,final_distance,final_time,time_out,,
0,0,1,38,34,1,10329.00195,194.4154684,23.852,45.4888,20,50
0,0,1,4,2,1,983,165.0446463,4.422,18.8722,20,50
0,0,1,12,10,0,7503.281549,3522.037982,36.6166,36.6166,20,50
0,0,1,62,55,1,8287.002441,165.4709336,16.951,39.574,20,50
0,0,1,43,47,1,7482,194.4684118,14.74,36.6166,20,50
0,0,1,64,66,1,4218.001953,185.2372656,9.849,24.787,20,50
0,0,1,78,76,1,4121,189.8884487,9.715,30.7018,20,50
0,0,1,59,57,1,2988.001953,186.4587138,7.638,21.8296,20,50
0,0,1,61,18,1,11579,178.0498102,23.785,54.361,20,50
0,0,1,35,39,1,1559,186.8794509,4.891,15.9148,20,50
1,0,1,37,76,1,5890.084238,186.8026409,16.08,39.574,20,50
1,0,1,8,24,1,5798.451724,173.8032396,21.44,36.6166,20,50
1,0,1,60,69,1,11052.70029,168.6265953,47.168,63.2332,20,50
1,0,1,38,10,0,13017.30293,656.3350355,63.2332,63.2332,20,50
1,0,1,21,1,1,5547.246278,174.5674375,15.209,39.574,20,50
1,0,1,58,71,0,14392.71202,3930.54664,78.0202,78.0202,20,50
1,0,1,74,32,1,3986.474758,192.9010801,13.936,33.6592,20,50
1,0,1,44,0,1,5966.615201,166.4432174,16.214,39.574,20,50
1,0,1,71,16,1,3635.097228,199.5680895,12.06,33.6592,20,50
1,0,1,14,24,1,9243.393276,172.7201692,29.547,51.4036,20,50
2,0,1,19,66,1,13725.40311,162.7068172,121.739,225.8902,20,50
2,0,1,79,14,0,14827.70464,17687.86631,181.5292,181.5292,20,50
2,0,1,19,57,1,8244.995678,177.4719903,140.566,264.3364,20,50
2,0,1,23,1,1,9135.900163,196.4417658,24.187,54.361,20,50
2,0,1,53,76,1,5457.223094,178.8124676,121.538,137.1682,20,50
2,0,1,42,13,1,5522.653478,184.8326761,65.526,95.7646,20,50
2,0,1,31,71,0,8946.938971,21026.68731,231.805,231.805,20,50
2,0,1,33,5,0,7886.740098,3279.677467,48.4462,48.4462,20,50
2,0,1,54,30,1,14039.95209,194.7274322,85.425,131.2534,20,50
2,0,1,10,61,0,8738.092755,6048.990014,148.9978,148.9978,20,50
3,0,3,38,34,1,10329.00195,181.2368759,23.919,45.4888,20,50
3,0,3,4,2,1,983,182.8663066,4.623,18.8722,20,50
3,0,3,12,10,0,7503.281549,3529.600655,36.6166,36.6166,20,50
3,0,3,62,55,1,8287.002441,170.2657063,17.018,39.574,20,50
3,0,3,43,47,1,7482,150.7164416,12.596,36.6166,20,50
3,0,3,64,66,1,4218.001953,170.2431948,9.916,24.787,20,50
3,0,3,78,76,1,4121,186.1861452,10.586,30.7018,20,50
3,0,3,59,57,0,2988.001953,2988.001465,21.8296,21.8296,20,50
3,0,3,61,18,1,11579,173.3638769,23.048,54.361,20,50
3,0,3,35,39,1,1559,170.3401543,4.958,15.9148,20,50
4,0,3,37,76,0,5890.084238,4987.494261,39.574,39.574,20,50
4,0,3,8,24,1,5798.451724,194.5738746,19.028,36.6166,20,50
4,0,3,60,69,1,11052.70029,181.9265262,47.235,63.2332,20,50
4,0,3,38,10,0,13017.30293,1168.741032,63.2332,63.2332,20,50
4,0,3,21,1,1,5547.246278,161.376802,15.276,39.574,20,50
4,0,3,58,71,1,14392.71202,188.1771725,32.227,78.0202,20,50
4,0,3,74,32,0,3986.474758,3986.484134,33.6592,33.6592,20,50
4,0,3,44,0,1,5966.615201,168.5220347,15.209,39.574,20,50
4,0,3,71,16,1,3635.097228,168.5299887,10.72,33.6592,20,50
4,0,3,14,24,1,9243.393276,183.0902141,29.212,51.4036,20,50
5,0,3,19,66,0,13725.40311,18463.75597,225.8902,225.8902,20,50
5,0,3,79,14,0,14827.70464,14827.69091,181.5292,181.5292,20,50
5,0,3,19,57,0,8244.995678,12438.91615,264.3364,264.3364,20,50
5,0,3,23,1,1,9135.900163,173.8140387,23.584,54.361,20,50
5,0,3,53,76,0,5457.223094,5263.952072,137.1682,137.1682,20,50
5,0,3,42,13,0,5522.653478,7433.102612,95.7646,95.7646,20,50
5,0,3,31,71,0,8946.938971,20970.60545,231.805,231.805,20,50
5,0,3,33,5,0,7886.740098,8844.750153,48.4462,48.4462,20,50
5,0,3,54,30,1,14039.95209,170.5175738,85.626,131.2534,20,50
5,0,3,10,61,0,8738.092755,8738.087269,148.9978,148.9978,20,50
6,0,6,38,34,1,10329.00195,180.5071629,30.016,45.4888,20,50
6,0,6,4,2,1,983,176.3536977,4.422,18.8722,20,50
6,0,6,12,10,1,7503.281549,182.1339445,19.966,36.6166,20,50
6,0,6,62,55,1,8287.002441,187.391005,16.884,39.574,20,50
6,0,6,43,47,1,7482,194.8895598,15.544,36.6166,20,50
6,0,6,64,66,1,4218.001953,163.5509275,9.849,24.787,20,50
6,0,6,78,76,1,4121,167.9553976,9.782,30.7018,20,50
6,0,6,59,57,1,2988.001953,177.3925513,10.787,21.8296,20,50
6,0,6,61,18,1,11579,165.2334264,22.11,54.361,20,50
6,0,6,35,39,1,1559,161.989641,5.293,15.9148,20,50
7,0,6,37,76,0,5890.084238,5731.468933,39.574,39.574,20,50
7,0,6,8,24,1,5798.451724,176.6981553,19.162,36.6166,20,50
7,0,6,60,69,1,11052.70029,166.3316898,26.13,63.2332,20,50
7,0,6,38,10,0,13017.30293,1793.326444,63.2332,63.2332,20,50
7,0,6,21,1,1,5547.246278,176.8980676,18.425,39.574,20,50
7,0,6,58,71,1,14392.71202,192.3994998,34.438,78.0202,20,50
7,0,6,74,32,1,3986.474758,191.7394817,14.271,33.6592,20,50
7,0,6,44,0,1,5966.615201,191.2893914,15.544,39.574,20,50
7,0,6,71,16,1,3635.097228,182.3625864,10.787,33.6592,20,50
7,0,6,14,24,1,9243.393276,193.7180041,23.919,51.4036,20,50
8,0,6,19,66,0,13725.40311,15267.50753,225.8902,225.8902,20,50
8,0,6,79,14,0,14827.70464,17234.52467,181.5292,181.5292,20,50
8,0,6,19,57,0,8244.995678,8778.777793,264.3364,264.3364,20,50
8,0,6,23,1,1,9135.900163,186.5896366,23.517,54.361,20,50
8,0,6,53,76,0,5457.223094,17778.97998,137.1682,137.1682,20,50
8,0,6,42,13,0,5522.653478,15757.0401,95.7646,95.7646,20,50
8,0,6,31,71,0,8946.938971,20386.29998,231.805,231.805,20,50
8,0,6,33,5,0,7886.740098,11013.16194,48.4462,48.4462,20,50
8,0,6,54,30,1,14039.95209,185.6915565,85.626,131.2534,20,50
8,0,6,10,61,1,8738.092755,168.0283986,88.172,148.9978,20,50
9,0,8,38,34,1,10329.00195,189.4713007,23.785,45.4888,20,50
9,0,8,4,2,1,983,194.2549247,4.422,18.8722,20,50
9,0,8,12,10,0,7503.281549,7503.283557,36.6166,36.6166,20,50
9,0,8,62,55,1,8287.002441,174.643521,16.013,39.574,20,50
9,0,8,43,47,1,7482,139.0732358,14.74,36.6166,20,50
9,0,8,64,66,1,4218.001953,179.4479251,9.581,24.787,20,50
9,0,8,78,76,1,4121,182.753242,9.715,30.7018,20,50
9,0,8,59,57,1,2988.001953,166.5028582,6.164,21.8296,20,50
9,0,8,61,18,1,11579,193.7835471,22.311,54.361,20,50
9,0,8,35,39,1,1559,183.0723812,5.963,15.9148,20,50
10,0,8,37,76,0,5890.084238,4908.289002,39.574,39.574,20,50
10,0,8,8,24,1,5798.451724,167.4366442,16.348,36.6166,20,50
10,0,8,60,69,1,11052.70029,171.0532871,30.686,63.2332,20,50
10,0,8,38,10,1,13017.30293,177.9324262,31.356,63.2332,20,50
10,0,8,21,1,1,5547.246278,171.7548735,15.008,39.574,20,50
10,0,8,58,71,0,14392.71202,10286.65697,78.0202,78.0202,20,50
10,0,8,74,32,1,3986.474758,192.5204859,11.658,33.6592,20,50
10,0,8,44,0,1,5966.615201,192.6201247,16.482,39.574,20,50
10,0,8,71,16,1,3635.097228,192.9620011,10.653,33.6592,20,50
10,0,8,14,24,1,9243.393276,161.8842776,25.795,51.4036,20,50
11,0,8,19,66,1,13725.40311,194.4563028,116.781,225.8902,20,50
11,0,8,79,14,1,14827.70464,197.6003085,134.737,181.5292,20,50
11,0,8,19,57,1,8244.995678,191.3783189,135.876,264.3364,20,50
11,0,8,23,1,1,9135.900163,165.6714061,23.718,54.361,20,50
11,0,8,53,76,1,5457.223094,188.0141478,123.548,137.1682,20,50
11,0,8,42,13,0,5522.653478,10128.49232,95.7646,95.7646,20,50
11,0,8,31,71,1,8946.938971,173.0938647,213.395,231.805,20,50
11,0,8,33,5,0,7886.740098,3350.030741,48.4462,48.4462,20,50
