exp_id,rep,weather,start_point,end_point,result,initial_distance,final_distance,final_time,time_out,,
0,0,1,38,34,1,10329.00195,168.457208,23.785,45.4888,20,50
0,0,1,4,2,1,983,195.9530144,4.422,18.8722,20,50
0,0,1,12,10,0,7503.281549,3523.206446,36.6166,36.6166,20,50
0,0,1,62,55,1,8287.002441,193.1757135,16.951,39.574,20,50
0,0,1,43,47,1,7482,173.3537661,14.807,36.6166,20,50
0,0,1,64,66,1,4218.001953,179.7203466,9.849,24.787,20,50
0,0,1,78,76,1,4121,170.0943745,9.849,30.7018,20,50
0,0,1,59,57,1,2988.001953,177.6133791,7.638,21.8296,20,50
0,0,1,61,18,1,11579,181.2825071,23.048,54.361,20,50
0,0,1,35,39,1,1559,186.9242108,5.159,15.9148,20,50
1,0,1,37,76,1,5890.084238,177.0581425,16.147,39.574,20,50
1,0,1,8,24,0,5798.451724,4898.065761,36.6166,36.6166,20,50
1,0,1,60,69,1,11052.70029,199.1373001,30.15,63.2332,20,50
1,0,1,38,10,1,13017.30293,184.6581705,62.98,63.2332,20,50
1,0,1,21,1,1,5547.246278,172.9529616,18.559,39.574,20,50
1,0,1,58,71,0,14392.71202,3942.735611,78.0202,78.0202,20,50
1,0,1,74,32,1,3986.474758,175.0250942,14.003,33.6592,20,50
1,0,1,44,0,1,5966.615201,161.4128566,16.281,39.574,20,50
1,0,1,71,16,1,3635.097228,199.0363735,12.127,33.6592,20,50
1,0,1,14,24,1,9243.393276,194.9225896,29.949,51.4036,20,50
2,0,1,19,66,0,13725.40311,9695.601579,225.8902,225.8902,20,50
2,0,1,79,14,0,14827.70464,17729.89391,181.5292,181.5292,20,50
2,0,1,19,57,1,8244.995678,172.3723811,145.256,264.3364,20,50
2,0,1,23,1,1,9135.900163,175.2351043,23.852,54.361,20,50
2,0,1,53,76,1,5457.223094,172.3952619,122.342,137.1682,20,50
2,0,1,42,13,1,5522.653478,187.5251454,65.526,95.7646,20,50
2,0,1,31,71,0,8946.938971,21024.65693,231.805,231.805,20,50
2,0,1,33,5,0,7886.740098,3309.880885,48.4462,48.4462,20,50
2,0,1,54,30,1,14039.95209,182.4071133,85.425,131.2534,20,50
