exp_id,rep,weather,start_point,end_point,result,initial_distance,final_distance,final_time,time_out,,
0,0,1,38,34,1,10329.00195,195.2447768,23.986,45.4888,20,50
0,0,1,4,2,1,983,188.1055487,4.422,18.8722,20,50
0,0,1,12,10,0,7503.281549,5591.261065,36.6166,36.6166,20,50
0,0,1,62,55,1,8287.002441,186.8154429,16.951,39.574,20,50
0,0,1,43,47,1,7482,154.6533269,14.874,36.6166,20,50
0,0,1,64,66,1,4218.001953,178.3160719,9.849,24.787,20,50
0,0,1,78,76,1,4121,186.7506997,11.39,30.7018,20,50
0,0,1,59,57,1,2988.001953,185.3867594,7.638,21.8296,20,50
0,0,1,61,18,1,11579,179.6609654,22.512,54.361,20,50
0,0,1,35,39,1,1559,169.8405147,5.226,15.9148,20,50
1,0,1,37,76,1,5890.084238,167.4795564,17.152,39.574,20,50
1,0,1,8,24,1,5798.451724,181.9026154,21.306,36.6166,20,50
1,0,1,60,69,1,11052.70029,172.7925567,45.158,63.2332,20,50
1,0,1,38,10,1,13017.30293,192.418465,31.49,63.2332,20,50
1,0,1,21,1,1,5547.246278,184.1905425,15.142,39.574,20,50
1,0,1,58,71,0,14392.71202,3942.542456,78.0202,78.0202,20,50
1,0,1,74,32,1,3986.474758,180.7523013,16.147,33.6592,20,50
1,0,1,44,0,1,5966.615201,197.9532832,16.147,39.574,20,50
1,0,1,71,16,1,3635.097228,195.4544097,11.926,33.6592,20,50
1,0,1,14,24,1,9243.393276,193.6555824,29.413,51.4036,20,50
2,0,1,19,66,1,13725.40311,189.8389369,120.265,225.8902,20,50
2,0,1,79,14,0,14827.70464,10517.74309,181.5292,181.5292,20,50
2,0,1,19,57,1,8244.995678,197.6446631,138.556,264.3364,20,50
2,0,1,23,1,1,9135.900163,185.6860396,23.718,54.361,20,50
2,0,1,53,76,1,5457.223094,188.1155038,123.816,137.1682,20,50
2,0,1,42,13,1,5522.653478,190.8603696,71.757,95.7646,20,50
2,0,1,31,71,0,8946.938971,21039.78928,231.805,231.805,20,50
2,0,1,33,5,0,7886.740098,3305.365247,48.4462,48.4462,20,50
2,0,1,54,30,1,14039.95209,166.0595889,85.425,131.2534,20,50
2,0,1,10,61,0,8738.092755,6052.751899,148.9978,148.9978,20,50
3,0,3,38,34,1,10329.00195,177.5504799,23.852,45.4888,20,50
3,0,3,4,2,1,983,185.8675336,4.623,18.8722,20,50
3,0,3,12,10,1,7503.281549,188.3904196,25.259,36.6166,20,50
3,0,3,62,55,1,8287.002441,173.6568256,17.152,39.574,20,50
3,0,3,43,47,1,7482,193.7424086,12.395,36.6166,20,50
3,0,3,64,66,1,4218.001953,169.8873785,9.916,24.787,20,50
3,0,3,78,76,1,4121,176.9494395,10.519,30.7018,20,50
3,0,3,59,57,0,2988.001953,2988.008301,21.8296,21.8296,20,50
3,0,3,61,18,0,11579,10399.57547,54.361,54.361,20,50
3,0,3,35,39,1,1559,165.8753651,4.958,15.9148,20,50
4,0,3,37,76,0,5890.084238,5262.173124,39.574,39.574,20,50
4,0,3,8,24,1,5798.451724,178.1010631,19.028,36.6166,20,50
4,0,3,60,69,1,11052.70029,178.1762385,36.448,63.2332,20,50
4,0,3,38,10,0,13017.30293,1351.492922,63.2332,63.2332,20,50
4,0,3,21,1,1,5547.246278,181.6052571,17.085,39.574,20,50
4,0,3,58,71,1,14392.71202,184.3892816,32.294,78.0202,20,50
4,0,3,74,32,0,3986.474758,3986.485457,33.6592,33.6592,20,50
4,0,3,44,0,1,5966.615201,184.9545878,14.807,39.574,20,50
4,0,3,71,16,1,3635.097228,178.7982007,10.72,33.6592,20,50
4,0,3,14,24,1,9243.393276,183.7573627,29.212,51.4036,20,50
5,0,3,19,66,0,13725.40311,24589.44812,225.8902,225.8902,20,50
5,0,3,79,14,0,14827.70464,14093.05935,181.5292,181.5292,20,50
5,0,3,19,57,0,8244.995678,24319.59166,264.3364,264.3364,20,50
5,0,3,23,1,1,9135.900163,174.1366136,27.738,54.361,20,50
5,0,3,53,76,0,5457.223094,5065.081879,137.1682,137.1682,20,50
5,0,3,42,13,1,5522.653478,186.346647,76.179,95.7646,20,50
5,0,3,31,71,0,8946.938971,20968.50175,231.805,231.805,20,50
5,0,3,33,5,0,7886.740098,8617.943692,48.4462,48.4462,20,50
